# IKS01A3 
 
time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
147652000,820,-549,-899,-38687,-25740,-40992
147671000,777,-425,-918,-28824,-26106,-27450
147690000,737,-427,-888,-15664,-28519,-17847
147709000,703,-377,-795,-366,-27496,-23664
147728000,609,-302,-879,22488,-22061,-43969
147747000,622,-202,-834,51145,-15526,-82656
147766000,537,-118,-793,86992,-4183,-127755
147785000,409,275,-771,139160,15923,-164167
147804000,297,370,-537,195709,39114,-124442
147823000,457,187,133,247114,49755,-24030
147842000,614,-228,843,282824,33190,122213
147861000,44,-981,1226,271068,33328,194625
147880000,559,-1549,1114,173862,-8106,125343
147899000,348,-2785,557,8473,-40885,72381
147918000,702,-2708,-62,-151190,1465,-71801
147937000,478,-592,-102,-155557,30366,-183129
147956000,382,787,-636,-86244,43526,-158519
147975000,709,230,-414,-11893,43312,-39832
147994000,780,-128,-159,37694,26870,66916
148013000,580,-213,-152,35603,16442,156473
148032001,767,-1099,81,9664,-16778,145801
148051000,946,-1649,-56,-33908,-18748,51603
148070000,843,-887,-281,-39022,870,-31114
148089001,773,-364,-338,-27832,6015,-12137
148108000,881,-690,-194,-22549,-900,46244
148127000,636,-1086,-187,-32671,1755,77709
148146000,607,-1163,-30,-62137,-4030,55725
148165000,807,-1385,103,-100961,-11526,30000
148184000,839,-1367,22,-133618,-17923,9740
148203000,736,-1152,-92,-149923,-13251,-6519
148222000,678,-918,-108,-155572,-11068,-17389
148241000,577,-702,-225,-155541,-9480,-21770
148260000,558,-582,-310,-149557,-8732,-19389
148279001,612,-694,-397,-144045,-6534,-19694
148298000,689,-687,-415,-138137,-5862,-27938
148317000,700,-617,-416,-134839,-8335,-24732
148336000,728,-561,-369,-133206,-11099,-19893
148355000,709,-511,-495,-123740,-17786,-35496
148374000,671,-548,-552,-121740,-18106,-47648
148393000,695,-434,-513,-116091,-21251,-70503
148412000,685,-406,-507,-110564,-29145,-86381
148431000,598,-231,-745,-100854,-28061,-116549
148450000,575,-50,-836,-86015,-21969,-139068
148469000,471,317,-766,-61694,-18076,-138641
148488000,269,695,-979,-26152,-8106,-138381
148507000,132,1280,-1227,16061,15343,-103404
148526000,189,1228,-1234,74335,33175,-64488
148545000,186,1005,-1056,122366,57496,7343
