# IKS01A3 
 
time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
320802000,-65,782,-913,66961,44519,-27419
320821000,-151,783,-902,75877,54229,-38091
320840000,-211,757,-834,83908,65297,-52091
320859000,-262,713,-822,91709,74259,-73465
320878000,-319,699,-783,99450,85038,-98824
320897000,-384,717,-746,104091,100595,-126106
320916000,-418,766,-708,107679,116396,-154015
320935000,-384,663,-616,105618,130992,-185129
320954000,-349,579,-523,102854,137587,-232320
320973000,-234,527,-370,91694,133969,-289343
320992000,-229,697,-345,72793,139526,-316702
321011000,-86,880,-276,48137,146748,-315572
321030000,1282,274,302,21984,139771,-365969
321049001,2316,475,-1716,193740,-131755,-470580
321068000,-1156,2812,-1356,26427,-170183,-94030
321087000,-682,1255,-602,-54549,72992,168534
321106000,31,359,-1103,-44656,111343,148061
321125000,429,392,-442,-41511,-4534,41251
321144000,270,742,-535,-27603,-38824,-5114
321163000,222,899,-972,-31786,-11389,49893
321182000,227,662,-811,-34885,-15664,91801
321201000,305,513,-519,-40671,-34977,90549
321220000,351,483,-523,-39709,-59496,72183
321239000,262,686,-717,-32992,-73862,64076
321258000,188,820,-718,-31816,-81786,79679
321277000,178,803,-671,-29603,-86061,96045
321296000,153,740,-664,-27923,-92015,102824
321315000,100,686,-663,-27221,-100564,99480
321334000,86,690,-694,-26748,-107816,96809
321353000,19,688,-748,-28274,-108473,100854
321372000,-4,675,-766,-32625,-104824,108778
321391000,-8,663,-799,-34106,-101419,109099
321410000,-21,604,-887,-36381,-99358,101053
321429000,-45,559,-973,-37511,-96000,88045
321448000,-84,558,-1079,-36763,-88488,80519
321467000,-64,532,-1149,-33908,-75465,74503
321486000,-86,560,-1212,-25893,-63435,65923
321505000,-107,603,-1247,-15435,-47282,62549
321524000,-66,572,-1220,-5450,-30564,61053
321543000,-71,567,-1171,4732,-16335,56198
321562000,26,537,-1062,15557,-9740,44152
321581000,1,555,-1064,25526,-5221,37175
321600000,7,458,-1002,29099,-30,32870
321619000,48,438,-935,33450,-1557,19175
321638000,-20,475,-986,35679,-2183,7404
321657000,-26,482,-979,36870,-91,-1801
321676000,-54,524,-1007,39251,1847,-9679
321695000,-109,544,-1008,41679,8137,-15435
321714001,-94,517,-980,43160,14274,-24778
321733000,-84,495,-969,42656,20213,-35770
321752000,-38,485,-957,40793,26091,-44152
321771000,7,500,-927,38015,30091,-50427
321790000,35,520,-950,35328,34549,-50458
321809000,45,517,-955,33282,37816,-49984
321828000,33,449,-972,31908,37129,-55083
321847000,-40,452,-1028,32091,35328,-63755
321866000,-119,449,-1071,31938,38366,-69358
321885000,-227,449,-999,31068,41648,-79053
321904000,-375,442,-999,31679,53923,-92977
321923000,-474,469,-977,32717,62045,-119862
321942000,-602,488,-952,34106,79022,-150778
321961000,-725,569,-953,33954,103404,-174870
321980000,-653,530,-864,29038,126244,-195694
321999000,-473,410,-734,22748,140061,-237251
322018000,-323,414,-575,16137,136183,-292488
322037000,-110,542,-568,1832,128213,-320748
322056000,3999,3999,3719,144045,-234351,-134381
322075000,153,1622,-2270,52396,-111954,-143374
322094000,-788,1082,-1274,-52290,-14824,150167
322113000,164,-121,-365,-44564,61709,182229
322132000,270,-78,-576,-60305,43725,61114
322151000,216,167,-1018,-6564,-46717,-38671
322170000,114,711,-861,-8534,-41786,-9480
322189000,156,601,-781,-23618,-8244,46778
322208000,241,336,-730,-25709,-12167,52045
322227000,230,453,-709,-21923,-37007,34687
322246000,157,599,-688,-21358,-51068,29969
322265000,135,620,-689,-21618,-57358,33343
322284000,73,678,-770,-21358,-66534,41251
322303000,39,681,-814,-22534,-74473,54106
322322000,32,629,-795,-22885,-82290,62519
322341000,22,591,-909,-21603,-88748,63755
322360000,20,568,-986,-20381,-95633,62992
322379000,-12,576,-975,-16748,-100671,57923
322398000,-51,578,-1015,-13694,-100351,54351
322417000,-72,560,-1096,-14183,-96137,56000
322436000,-101,567,-1184,-14396,-84793,64045
322455000,-86,535,-1173,-16213,-68687,73007
322474000,-57,510,-1110,-15755,-55969,74412
322493000,-51,546,-1113,-12961,-43664,73038
322512000,-38,542,-1088,-11603,-34122,74335
322531000,-96,542,-1075,-8290,-23801,75099
322550000,-104,490,-1068,-7603,-14320,74763
322569000,-64,487,-1035,-4977,-9282,70137
322588000,-76,477,-1022,-4183,-5725,70229
322607000,-44,398,-990,-3877,-1587,63404
322626000,-60,403,-1013,-1312,-351,50595
322645000,-76,455,-996,427,-687,42641
322664000,-102,495,-972,2335,3145,40900
322683000,-98,523,-980,6137,8137,38427
322702000,-39,493,-931,9267,8824,31282
322721000,-29,490,-942,12931,9450,21847
322740000,-18,494,-918,14305,8351,16198
322759000,-31,488,-932,15160,10656,12961
322778000,-21,539,-909,15740,10015,10366
322797000,41,571,-880,16732,8992,6000
322816000,51,596,-888,19587,5496,1297
322835000,12,602,-896,21541,3725,-900
322854000,-26,578,-948,24015,3893,-7603
322873000,-35,556,-908,26061,3557,-14396
322892000,-22,554,-944,26793,5053,-21206
322911000,-16,510,-961,28091,6412,-29160
322930000,-41,498,-964,29725,6061,-37374
322949000,-131,532,-1010,31496,12534,-40519
322968000,-169,504,-991,30900,23099,-40061
322987000,-181,409,-949,29145,30290,-50137
323006000,-229,335,-952,28717,30656,-74885
323025000,-300,362,-960,29404,33160,-106335
323044000,-466,522,-1034,31709,46259,-126885
323063000,-558,602,-1027,30809,68015,-134000
323082000,-404,438,-833,27740,83587,-157129
323101000,-340,338,-780,26702,85709,-205465
323120000,-374,403,-756,17755,86244,-243374
323139000,-313,430,-752,1404,93419,-257664
323158000,361,308,-662,-21816,106396,-256335
323177000,3999,2674,2073,88580,-111755,-127816
323196000,587,1982,-1630,46198,-136503,-105480
323215000,-552,800,-1037,-58778,5404,129679
323234000,-41,368,-935,-29435,44732,160916
323253000,133,120,-800,-41786,23038,108000
323272000,167,210,-766,-16396,-32900,36900
323291000,53,526,-702,-12595,-40717,20259
323310000,-41,569,-928,-18656,-33603,50687
323329000,33,539,-844,-20931,-40473,66946
323348000,30,539,-736,-23129,-52656,65557
323367000,37,519,-796,-25587,-61511,56763
323386000,-5,558,-798,-27572,-71679,51267
323405000,-55,617,-827,-30916,-71847,60870
323424000,-89,570,-877,-35587,-69633,72213
323443000,-98,531,-889,-38732,-72534,73572
323462000,-69,507,-868,-41496,-75511,70839
323481000,-96,561,-900,-41297,-76595,69709
323500000,-113,580,-927,-41862,-74595,74839
323519000,-123,553,-956,-42030,-72839,77679
323538000,-155,573,-963,-40274,-70427,77770
323557000,-89,541,-940,-37877,-70183,72351
323576000,-139,594,-1006,-31740,-67832,72091
323595000,-139,614,-1037,-27679,-60809,77511
323614000,-140,581,-1041,-22748,-56076,78702
323633000,-176,577,-1041,-17664,-49312,79801
323652000,-129,590,-1007,-10412,-45083,76320
323671000,-119,573,-1002,-3038,-40000,74458
323690000,-101,545,-1012,1419,-36473,73358
323709000,-65,494,-987,5786,-34793,64335
323728000,-94,510,-990,8717,-33312,54793
323747000,-81,518,-975,11618,-28396,52061
323766000,-82,566,-986,13648,-22091,54351
323785000,-74,574,-958,14717,-17404,54320
323804000,-88,511,-929,14015,-11755,49206
323823000,-83,516,-986,13984,-8549,34732
323842000,-62,569,-973,17038,-8274,21770
323861000,-94,668,-1012,20473,-2335,21374
323880000,-104,642,-1007,20625,7954,27816
323899000,-59,521,-982,20274,12183,24320
323918000,-46,509,-972,20396,11541,11954
323937000,-64,577,-956,20870,12793,2946
323956000,-51,644,-940,22076,16793,3160
323975000,-93,621,-937,20870,23404,6687
323994001,-76,587,-911,22549,25694,1847
324013000,-106,603,-907,23938,26900,-6961
324032000,-80,608,-903,23877,30030,-12442
324051000,-65,604,-880,25282,30961,-17633
324070000,-49,575,-883,26229,32122,-21908
324089000,-54,560,-865,26167,32061,-24610
324108000,-71,503,-897,25328,37419,-27618
324127000,-88,487,-911,24091,38015,-35618
324146000,-145,481,-911,25175,39038,-50076
324165000,-213,532,-901,26793,42931,-66213
324184000,-299,563,-903,29465,49129,-83404
324203000,-400,604,-911,34458,59129,-102839
324222000,-436,511,-879,34610,72137,-127679
324241000,-400,408,-845,32534,82061,-163114
324260000,-421,401,-793,26045,85938,-200366
324279000,-357,402,-765,17083,93206,-236595
324298000,-165,329,-662,2015,94641,-269954
324317000,767,518,-809,-8305,93206,-223526
324336000,1060,1049,-412,78015,-15221,-260015
324355000,-468,1799,-1597,36595,-93145,-105038
324374000,-149,828,-1398,-45526,11038,123832
324393000,-133,352,-925,-27053,20351,157557
324412000,100,409,-647,-19480,473,121053
324431000,165,373,-675,-9297,-27984,75221
324450000,88,359,-787,-5511,-50305,48183
324469001,-54,491,-848,-7099,-59435,46519
324488000,-20,548,-936,-12061,-65312,68305
324507000,1,566,-821,-13725,-66091,81206
324526000,-48,560,-873,-15816,-65526,87679
324545000,-43,490,-896,-19099,-64564,89893
324564000,-5,455,-879,-20534,-68412,81557
324583000,-51,482,-928,-21083,-71022,77358
324602000,-107,516,-978,-22961,-68366,82122
324621000,-86,492,-949,-25129,-63511,87740
324640000,-66,468,-969,-25618,-64870,85923
324659000,-41,443,-942,-26442,-66916,79877
324678000,-92,494,-963,-23847,-66992,73450
324697000,-117,495,-968,-22610,-63022,70717
324716001,-166,520,-991,-19343,-57450,68809
324735000,-131,520,-973,-16198,-53679,64625
324754000,-119,512,-972,-12870,-50916,58534
324773000,-135,505,-991,-9938,-45603,57175
324792000,-102,450,-939,-10458,-40366,58061
324811000,-78,430,-927,-10259,-37022,53099
324830000,-97,468,-936,-10198,-35862,47816
324849000,-77,454,-915,-9725,-35893,41114
324868000,-126,466,-946,-9709,-34458,33160
324887000,-148,466,-934,-10809,-32610,25603
324906000,-201,540,-962,-10793,-27694,17770
324925000,-259,629,-984,-9480,-18824,14702
324944000,-210,615,-994,-7877,-11083,10259
