# IKS01A3 
 
time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
461201000,672,561,-19,48061,16748,-8946
461220001,639,535,21,43450,24809,-10106
461239000,621,469,48,32595,25496,-11160
461258000,602,466,-12,22854,28290,-22305
461277000,565,531,-2,12931,35236,-29450
461296000,446,464,-22,4152,48717,-35664
461315000,349,432,-26,-8885,62351,-38183
461334000,415,406,23,-21938,76458,-42396
461353000,421,473,62,-37389,81236,-44381
461372000,466,437,59,-53480,92183,-39541
461391000,437,331,9,-73603,101801,-46061
461410000,427,362,-5,-90320,114870,-66564
461429000,634,325,-31,-111435,121587,-62305
461448000,680,104,-98,-140213,125053,-79450
461467000,743,298,-61,-158091,129221,-153206
461486000,1003,791,226,-158030,133435,-277923
461505000,1694,1234,1037,-150793,62793,-411801
461524000,13,1307,288,-132213,89923,-301954
461543000,-330,1070,1023,-162458,51847,-18473
461562000,634,2579,2056,-67679,24351,92503
461581000,888,2334,1224,-12335,47282,168213
461600000,875,1088,697,885,79221,178854
461619000,1157,440,338,34335,35557,20763
461638000,938,583,395,32381,7374,-55816
461657000,716,672,145,8366,-7038,-19511
461676000,890,619,301,-2091,-28015,931
461695000,814,659,237,-4167,-36763,-3007
461714000,879,590,213,-5618,-35969,-45709
461733000,1106,719,447,1664,-41755,-128503
461752000,1206,1160,746,26534,-70366,-225984
461771000,143,974,375,31694,-72473,-200641
461790000,-530,482,274,-8091,-57526,-3664
461809000,313,1473,1002,21603,-61297,112366
461828000,564,1399,881,27496,-62259,180519
461847000,638,1067,708,44580,-64625,114213
461866000,551,797,570,72992,-63450,-10961
461885000,592,808,469,69435,-68183,-39984
461904000,365,1053,435,69541,-79496,-4091
461923000,230,904,270,67175,-66900,45969
461942001,375,704,306,63893,-61190,61801
461961000,429,872,357,68717,-56870,50213
461980000,415,871,302,69877,-51877,41587
461999000,403,787,275,69297,-47435,28229
462018000,407,778,245,68610,-44213,11343
462037000,513,815,256,68030,-46030,-3893
462056000,414,852,186,67160,-45969,1358
462075000,435,823,154,63679,-44580,12458
462094000,447,797,123,64061,-41496,14549
462113000,463,842,83,63328,-38122,15557
462132000,533,858,60,65786,-35480,13954
462151000,535,781,12,63251,-35129,14351
462170000,526,787,-33,60885,-34000,13282
462189000,538,767,-61,56091,-31679,18519
462208000,558,810,-44,53755,-31709,20946
462227000,566,778,-72,50534,-30809,22167
462246001,582,755,-94,47603,-31160,23709
462265000,583,715,-127,44076,-31343,22885
462284000,569,685,-199,38748,-32412,32061
462303000,600,588,-297,27267,-33083,45374
462322000,614,447,-356,12595,-38580,55770
462341000,579,334,-423,-6625,-38076,61969
462360000,533,228,-539,-33938,-37083,58564
462379000,562,70,-565,-69664,-29603,62061
462398000,545,136,-490,-101450,-22687,36717
462417000,563,13,-445,-136854,-2854,-18091
462436000,723,312,-142,-147557,14595,-150396
462455000,998,740,350,-134748,4564,-352824
462474000,532,1017,690,-116595,-50366,-500274
462493000,-629,1276,567,-100488,-45526,-328503
462512000,-445,1925,1189,-64106,-51068,-52305
462531000,-89,2372,1157,-8305,-35679,185938
462550000,290,1356,292,39770,-24213,221923
462569000,321,11,-469,16351,39603,193267
462588000,630,492,-928,-4229,36916,-11511
462607000,1016,618,52,-15587,28885,-99206
462626000,842,695,215,-33358,-13083,-158259
462645000,-225,653,243,-28671,-5664,-129633
462664002,-4,1281,479,-10961,6732,-13679
462683000,351,1489,335,-6137,-12045,112534
462702000,548,585,-11,-7786,-7541,98564
462721000,649,752,-137,1618,5160,-49114
462740000,731,920,144,5648,-4961,-137618
462759000,376,880,169,961,-20732,-155862
462778000,-296,876,152,3893,5557,-92045
462797000,102,1620,507,19816,19221,-6610
462816000,193,1628,453,56778,17312,87587
462835000,339,954,197,63419,21358,105786
462854000,400,846,-24,66351,27038,72000
462873000,456,952,26,68213,24732,46671
462892000,453,836,77,65847,19908,31984
462911000,448,878,74,64244,14473,14290
462930000,437,1049,40,67511,12992,12381
462949000,387,991,-45,68854,13038,25175
462968000,442,1013,-39,71786,12854,27984
462987000,479,1001,-59,74442,12503,31068
463006000,443,941,-97,75038,11389,26000
463025000,470,883,-110,74076,8854,19145
463044000,517,828,-240,70916,6396,14335
463063000,489,909,-379,69893,6839,10213
463082000,536,917,-409,68931,5068,18931
463101000,598,789,-472,61755,1312,21450
463120000,584,755,-497,58793,-3053,11175
463139000,585,850,-500,55007,-7587,9206
463158000,571,924,-523,54534,-10824,16335
463177000,561,813,-538,50122,-12931,23068
463196000,544,828,-507,48641,-15190,20641
463215000,540,721,-528,45145,-17007,19664
463234000,496,736,-547,41022,-17129,16671
463253000,491,766,-546,36198,-18015,22473
463272000,471,661,-595,30488,-18473,33282
463291000,479,575,-621,19053,-18045,37145
463310000,521,565,-603,8778,-20916,42534
463329000,521,483,-632,-4564,-20458,41969
463348000,510,399,-629,-23053,-21435,43511
463367000,470,464,-569,-40778,-23419,55297
463386001,419,496,-596,-60259,-19603,89068
463405000,453,390,-541,-82687,-15633,116717
463424000,520,279,-536,-107221,-6229,112381
463443000,498,187,-473,-128503,1816,76763
463462000,457,136,-433,-154244,15160,20229
463481000,439,49,-420,-187847,30916,-32519
463500000,615,420,-12,-203465,42305,-128351
463519000,978,888,533,-193450,33450,-298427
463538000,1153,1272,1259,-161358,-47786,-500274
463557000,-906,1344,717,-117099,-39343,-355251
463576000,-860,1812,1232,-51664,-22229,-51511
463595000,-424,3056,1345,37435,-11221,219114
463614000,60,1398,-273,82870,54320,285297
463633000,261,-437,-694,55587,49541,240992
463652000,637,-467,-1295,-18916,73862,10671
463671000,1340,233,-454,-74015,52000,-98595
463690000,1176,866,580,-71877,-19587,-257480
463709000,-614,895,458,-39053,-10274,-211022
463728000,-115,1918,839,-1129,-427,-45374
463747000,88,1994,862,46274,-9358,117877
463766000,313,461,-673,14488,24793,183038
463785000,782,440,-571,-7160,22687,36580
463804001,1032,810,-99,-5389,27908,-93770
463823000,544,822,231,-17893,-12885,-132610
463842000,-293,835,190,-7587,7541,-130732
463861000,-177,1585,493,17572,27465,-45908
463880000,172,2052,727,58564,22809,67419
463899000,265,1227,303,79679,29267,104687
463918000,225,819,96,85374,38732,77465
463937000,179,886,-6,84687,49450,46595
463956000,226,810,-11,77496,53083,43954
463975000,241,796,-16,67312,58641,44503
463994000,322,914,-21,64030,63129,39740
464013000,327,906,-33,62061,69541,34916
464032000,372,916,-20,59954,70381,34335
464051000,303,842,-63,54091,74702,24625
464070000,403,852,-5,48595,73893,19053
464089000,459,873,-34,43709,71572,16412
464108000,479,789,-64,36687,62854,17877
464127000,435,718,-131,27251,62305,13664
464146000,429,768,-167,17083,62458,8198
464165000,459,760,-166,8015,64931,2091
464184000,524,740,-154,-1954,66824,-1435
464203000,553,777,-111,-10274,62656,-442
464222000,457,743,-129,-17068,68458,-305
464241000,403,756,-235,-27755,73114,-7099
464260000,573,817,-128,-33923,79648,-13862
464279000,636,890,-39,-38351,74305,-4213
464298000,497,890,-143,-42122,72167,11511
464317000,484,851,-141,-45221,76061,21099
464336000,624,771,-67,-49114,74809,18992
464355000,640,784,-4,-56274,69862,14335
464374000,696,790,13,-59053,62000,11862
464393000,675,761,31,-61038,53389,4412
464412000,650,844,-5,-61923,46045,-2900
464431000,680,867,6,-61190,38641,-396
464450000,722,775,-31,-63160,27374,10656
464469000,672,586,-145,-68961,21114,24748
464488000,628,371,-233,-84687,16610,36839
464507000,560,132,-315,-108977,20229,33847
464526000,459,-62,-273,-137923,31801,-14488
464545000,685,307,62,-143160,45129,-145465
464564000,1043,989,507,-110687,34335,-374702
464583000,489,1562,787,-63923,-28931,-500274
464602000,-654,1501,845,-90290,-76946,-226000
464621000,-242,2947,1744,-15832,-76534,3465
464640000,-3,2752,1142,32931,-47954,220519
464659000,44,1179,171,31755,8061,252854
464678000,458,432,75,42015,7557,119801
464697000,674,369,-65,46870,8396,-23664
464716000,938,551,156,27984,-22167,-83267
464735000,655,534,173,18244,-49053,-125267
464754000,24,718,95,22366,-64564,-92335
464773000,216,1402,451,29923,-78534,16076
464792000,515,1723,697,54412,-91190,101374
464811000,422,1288,435,53465,-88778,131083
464830000,455,967,151,55984,-73496,61007
464849000,537,1033,171,74000,-56946,-63587
464868000,643,935,191,81954,-56854,-160213
464887000,288,402,94,75435,-60625,-223007
464906000,-304,714,155,59160,-52229,-84458
464925000,85,1844,531,71740,-57389,49755
464944000,151,1707,467,87328,-54778,175374
464963000,188,1041,52,90351,-49480,181267
464982000,318,817,106,96763,-47267,102045
465001000,301,844,-26,99816,-32091,35541
465020000,333,824,69,91893,-33618,17893
465039000,281,852,58,87603,-29053,16152
465058001,255,862,15,83450,-27465,23374
465077000,270,948,27,82992,-24564,34244
465096000,280,942,-29,85435,-18198,37603
